#Minuto Promedio Desviacion
310 0.8 1.07703
311 0.7 1.00499
312 0.7 1.00499
313 0.7 1.00499
314 0.7 1.00499
315 0.7 1.00499
316 0.7 1.00499
317 0.7 1.00499
318 0.7 1.00499
319 0.7 1.00499
320 0.7 1.00499
321 0.8 0.979796
322 0.8 0.979796
323 0.8 0.979796
324 0.8 0.979796
325 0.8 0.979796
326 0.8 0.979796
327 0.8 0.979796
328 0.9 0.943398
329 0.9 0.943398
330 1 1.09545
331 1.1 1.3
332 1.1 1.3
333 1.1 1.3
334 1.1 1.3
335 1 1.34164
336 1 1.34164
337 1 1.34164
338 1 1.34164
339 1 1.34164
340 1.1 1.37477
341 1.1 1.37477
342 1.1 1.37477
343 1.1 1.37477
344 1.1 1.37477
345 1 1.26491
346 1 1.26491
347 1.2 1.249
348 1.2 1.4
349 1.2 1.4
350 1.2 1.4
351 1.2 1.4
352 1.1 1.22066
353 1 1.18322
354 1 1.18322
355 1 1.18322
356 1 1.18322
357 0.9 1.04403
358 0.9 1.04403
359 0.9 1.04403
360 1 1.26491
361 1 1.26491
362 1 1.26491
363 1 1.26491
364 1 1.26491
365 1 1.26491
366 0.9 1.3
367 0.9 1.3
368 1 1.41421
369 1 1.41421
370 0.9 1.22066
371 0.9 1.22066
372 1 1.18322
373 1 1.18322
374 1 1.18322
375 1.1 1.22066
376 1.1 1.22066
377 1.1 1.22066
378 1 1.18322
379 1 1.18322
380 1 1.18322
381 1 1.18322
382 1 1.18322
383 0.9 1.22066
384 0.9 1.22066
385 0.9 1.22066
386 0.9 1.22066
387 0.9 1.22066
388 0.9 1.22066
389 0.9 1.22066
390 0.9 1.22066
391 0.9 1.22066
392 0.9 1.22066
393 0.9 1.22066
394 0.9 1.22066
395 1.1 1.37477
396 1.1 1.37477
397 1.1 1.37477
398 1.1 1.37477
399 1 1.18322
400 1 1.18322
401 1.1 1.37477
402 1 1.41421
403 0.9 1.37477
404 0.8 1.4
405 0.7 1.26886
406 0.7 1.00499
407 0.7 1.00499
408 0.8 0.979796
409 0.8 0.979796
410 0.8 0.979796
411 0.8 0.979796
412 0.7 1.00499
413 0.7 1.00499
414 0.7 1.00499
415 0.7 1.00499
416 0.7 1.00499
417 0.7 1.00499
418 0.6 1.0198
419 0.6 1.0198
420 0.6 1.0198
421 0.6 1.0198
422 0.6 1.0198
423 0.6 1.0198
424 0.7 1.00499
425 0.6 1.0198
426 0.6 1.0198
427 0.6 1.0198
428 0.6 1.0198
429 0.6 1.0198
430 0.6 1.0198
431 0.9 1.04403
432 0.8 1.07703
433 0.8 1.07703
434 0.8 1.07703
435 0.8 1.07703
436 0.8 1.07703
437 0.8 1.07703
438 0.7 1.00499
439 0.6 0.916515
440 0.6 0.916515
441 0.6 0.916515
442 0.5 0.921954
443 0.6 1.2
444 0.5 0.921954
445 0.5 0.921954
446 0.5 0.921954
447 0.5 0.921954
448 0.5 0.921954
449 0.5 0.921954
450 0.5 0.921954
451 0.5 0.921954
452 0.6 1.2
453 0.6 1.2
454 0.7 1.26886
455 0.7 1.26886
456 0.8 1.249
457 0.8 1.249
458 0.8 1.249
459 0.8 1.249
460 0.8 1.249
461 0.8 1.249
462 0.8 1.249
463 0.8 1.249
464 0.8 1.249
465 0.9 1.3
466 1 1.26491
467 0.9 1.22066
468 0.9 1.22066
469 0.9 1.22066
470 0.9 1.22066
471 0.8 0.979796
472 1 1
473 1 1
474 1 1
475 1.1 1.13578
476 1.1 0.943398
477 1.1 0.943398
478 1.1 0.943398
479 1.2 1.16619
480 1.1 1.22066
481 1.1 1.22066
482 1.1 1.22066
483 1.1 1.22066
484 1.1 1.22066
485 1 1.26491
486 1.1 1.51327
487 1.1 1.51327
488 1 1.54919
489 1 1.54919
490 1 1.54919
491 1 1.54919
492 1 1.54919
493 1 1.54919
494 1 1.54919
495 1 1.54919
496 1 1.54919
497 1 1.54919
498 1 1.54919
499 0.9 1.57797
500 0.9 1.57797
501 0.9 1.57797
502 0.9 1.57797
503 0.9 1.57797
504 1 1.67332
505 1 1.67332
506 0.9 1.44568
507 0.9 1.44568
508 0.9 1.44568
509 0.9 1.44568
510 0.9 1.44568
511 0.9 1.44568
512 0.9 1.44568
513 1 1.41421
514 1 1.41421
515 1 1.41421
516 1 1.41421
517 1 1.41421
518 1 1.41421
519 1 1.41421
520 1 1.41421
521 1 1.41421
522 0.9 1.37477
523 0.9 1.37477
524 0.9 1.37477
525 0.9 1.37477
526 0.9 1.37477
527 0.8 1.4
528 0.8 1.4
529 0.8 1.4
530 0.8 1.4
531 0.8 1.4
532 0.8 1.4
533 0.8 1.4
534 0.7 1.18743
535 0.7 1.18743
536 0.6 1.0198
537 0.6 1.0198
538 0.6 1.0198
539 0.6 1.0198
540 0.6 1.0198
541 0.7 1.00499
542 0.7 1.00499
543 0.7 1.00499
544 0.7 1.00499
545 0.7 1.00499
546 0.7 1.00499
547 0.7 1.00499
548 0.8 0.979796
549 0.8 0.87178
550 0.8 0.87178
551 0.8 0.87178
552 0.8 0.87178
553 0.8 0.87178
554 0.8 0.87178
555 0.8 0.87178
556 0.8 0.87178
557 1 1.09545
558 1 1.09545
559 1 1.09545
560 1 1.09545
561 1 1.09545
562 1 1.09545
563 0.8 0.979796
564 0.8 0.979796
565 0.7 0.9
566 0.7 0.9
567 0.8 0.979796
568 0.8 0.979796
569 0.8 0.979796
570 0.8 0.979796
571 0.8 0.979796
572 0.8 0.979796
573 0.7 0.9
574 0.7 0.9
575 0.7 0.9
576 0.7 0.9
577 0.6 0.8
578 0.6 0.916515
579 0.7 1.1
580 0.6 0.916515
581 0.7 1.1
582 0.9 1.3
583 0.7 1.26886
584 0.7 1.26886
585 0.7 1.26886
586 0.7 1.26886
587 0.7 1.26886
588 0.7 1.26886
589 0.7 1.26886
590 0.7 1.26886
591 0.7 1.26886
592 0.7 1.26886
593 0.8 1.249
594 0.8 1.249
595 0.8 1.249
596 0.7 1.26886
597 0.7 1.26886
598 0.7 1.26886
599 0.6 1.0198
600 0.6 1.0198
601 0.6 1.0198
602 0.6 1.0198
603 0.6 0.916515
604 0.5 0.921954
605 0.5 0.921954
606 0.5 0.921954
607 0.5 0.921954
608 0.5 0.921954
609 0.5 0.921954
610 0.5 0.921954
611 0.5 0.921954
612 0.5 0.921954
613 0.5 0.921954
614 0.5 0.921954
615 0.5 0.921954
616 0.4 0.916515
617 0.3 0.9
618 0.3 0.9
619 0.3 0.9
620 0.2 0.6
621 0.2 0.6
622 0.2 0.6
623 0.2 0.6
624 0.2 0.6
625 0.2 0.6
626 0.1 0.3
627 0.2 0.4
628 0.2 0.4
629 0.1 0.3
630 0.1 0.3
631 0.1 0.3
632 0.1 0.3
633 0.1 0.3
634 0.1 0.3
635 0.1 0.3
636 0.2 0.4
637 0.2 0.4
638 0.1 0.3
639 0.1 0.3
640 0.1 0.3
641 0.1 0.3
642 0.1 0.3
643 0.1 0.3
644 0.1 0.3
645 0.1 0.3
646 0.1 0.3
647 0.1 0.3
648 0.1 0.3
649 0.1 0.3
650 0.1 0.3
651 0.1 0.3
652 0.1 0.3
653 0.1 0.3
654 0.1 0.3
655 0.1 0.3
656 0.1 0.3
657 0.1 0.3
658 0.2 0.4
659 0.2 0.4
660 0.2 0.4
661 0.2 0.4
662 0.2 0.4
663 0.2 0.4
664 0.1 0.3
665 0.1 0.3
666 0.1 0.3
667 0.1 0.3
668 0 0
669 0 0
670 0 0
671 0 0
672 0 0
673 0 0
674 0 0
675 0 0
676 0 0
677 0.1 0.3
678 0.1 0.3
679 0.1 0.3
680 0.1 0.3
681 0.1 0.3
682 0.1 0.3
683 0.1 0.3
684 0.1 0.3
685 0.1 0.3
686 0.1 0.3
687 0.1 0.3
688 0.1 0.3
689 0.1 0.3
690 0.1 0.3
691 0.2 0.4
692 0.2 0.4
693 0.2 0.4
694 0.2 0.4
695 0.1 0.3
696 0.1 0.3
697 0.1 0.3
698 0.1 0.3
699 0.1 0.3
700 0.1 0.3
701 0.1 0.3
702 0.1 0.3
703 0.1 0.3
704 0.1 0.3
705 0.1 0.3
