#Minuto PersonasLlegadas En_cola En_servicio Salidas
1 0 0 0 0
2 0 0 0 0
3 1 0 1 0
4 1 0 1 0
5 1 0 1 0
6 1 0 1 0
7 1 0 1 0
8 1 0 1 0
9 1 0 1 0
10 1 0 1 0
11 1 0 1 0
12 1 0 1 0
13 1 0 1 0
14 1 0 1 0
15 1 0 1 0
16 2 1 1 0
17 2 1 1 0
18 2 1 1 0
19 2 1 1 0
20 2 1 1 0
21 2 1 1 0
22 2 1 1 0
23 2 1 1 0
24 2 1 1 0
25 2 1 1 0
26 2 1 1 0
27 2 1 1 0
28 3 2 1 0
29 3 2 1 0
30 3 2 1 0
31 3 2 1 0
32 3 2 1 0
33 3 2 1 0
34 3 1 1 1
35 3 1 1 1
36 3 1 1 1
37 3 1 1 1
38 3 1 1 1
39 3 1 1 1
40 3 1 1 1
41 3 1 1 1
42 3 1 1 1
43 3 1 1 1
44 3 1 1 1
45 3 1 1 1
46 3 1 1 1
47 3 1 1 1
48 4 2 1 1
49 4 2 1 1
50 4 2 1 1
51 4 1 1 2
52 4 1 1 2
53 4 1 1 2
54 4 1 1 2
55 4 1 1 2
56 4 1 1 2
57 4 1 1 2
58 4 1 1 2
59 4 1 1 2
60 4 1 1 2
61 4 1 1 2
62 4 1 1 2
63 4 1 1 2
64 4 1 1 2
65 4 1 1 2
66 4 1 1 2
67 4 1 1 2
68 4 1 1 2
69 4 1 1 2
70 4 1 1 2
71 4 1 1 2
72 4 1 1 2
73 4 1 1 2
74 4 1 1 2
75 4 1 1 2
76 4 1 1 2
77 4 1 1 2
78 4 1 1 2
79 4 0 1 3
80 4 0 1 3
81 4 0 1 3
82 4 0 1 3
83 4 0 1 3
84 4 0 1 3
85 4 0 1 3
86 4 0 1 3
87 4 0 1 3
88 4 0 1 3
89 4 0 1 3
90 4 0 1 3
91 5 1 1 3
92 6 2 1 3
93 6 2 1 3
94 6 2 1 3
95 6 2 1 3
96 6 2 1 3
97 6 2 1 3
98 6 2 1 3
99 6 2 1 3
100 6 2 1 3
101 6 2 1 3
102 6 2 1 3
103 6 2 1 3
104 6 2 1 3
